image,label,x,y,width,height
GOPR8291/00017.jpg,1,0.25799713636363636,0.5371615454545455,0.03252443636363636,0.08338625909090908
GOPR8291/00017.jpg,1,0.9794113043478262,0.571756652173913,0.03902942608695652,0.16562913043478264
GOPR8291/00017.jpg,2,0.2586765217391304,0.5052533043478261,0.016531021739130437,0.07443649130434782
GOPR8291/00017.jpg,2,0.9866394347826086,0.5087488260869566,0.02543906086956522,0.14758412173913044
GOPR8291/00018.jpg,1,0.2165083333333333,0.5438470000000001,0.0471957,0.08532933333333333
GOPR8291/00018.jpg,1,0.8320191666666666,0.5548553333333334,0.06373713333333333,0.09906518333333332
GOPR8291/00018.jpg,2,0.21568333333333337,0.5024058333333333,0.01938615,0.08211671666666666
GOPR8291/00018.jpg,2,0.8255593333333334,0.5144036666666667,0.02120113333333333,0.09011528333333334
GOPR8291/00019.jpg,1,0.17524166666666666,0.5544766666666666,0.04260103333333334,0.10149201666666667
GOPR8291/00019.jpg,1,0.7072050000000001,0.5407654999999999,0.034615099999999996,0.06325235
GOPR8291/00019.jpg,2,0.1741943333333333,0.501322,0.020667633333333334,0.09963206666666667
GOPR8291/00019.jpg,2,0.7048446666666667,0.5129836666666667,0.015558033333333332,0.058303350000000004
GOPR8291/00020.jpg,1,0.129919,0.565309,0.0452924,0.132808
GOPR8291/00020.jpg,1,0.633997,0.530392,0.0177312,0.0446755
GOPR8291/00020.jpg,2,0.137601,0.506309,0.038309,0.131375
GOPR8291/00020.jpg,2,0.63307,0.510152,0.010515,0.0422073
GOPR8291/00021.jpg,1,0.06162055,0.5794321666666667,0.11492066666666667,0.16675816666666665
GOPR8291/00021.jpg,1,0.5917855,0.52643175,0.020390924999999997,0.04300325
GOPR8291/00021.jpg,2,0.07099171666666666,0.49911916666666656,0.03752808333333333,0.16692883333333333
GOPR8291/00021.jpg,2,0.59085825,0.509783,0.0110467575,0.038724625
GOPR8291/00022.jpg,1,0.525467,0.52416875,0.0277108,0.035175725000000005
GOPR8291/00022.jpg,2,0.52337675,0.5105992500000001,0.005936765,0.03001165
GOPR8291/00023.jpg,1,0.0807075,0.636591,0.16038125,0.33174800000000004
GOPR8291/00023.jpg,1,0.44995425000000006,0.523227,0.030237225000000003,0.036625125
GOPR8291/00023.jpg,2,0.0412432,0.5046475,0.067657475,0.308435
GOPR8291/00023.jpg,2,0.4472935,0.50967575,0.00902467,0.030804275
GOPR8291/00024.jpg,1,0.3567341923076924,0.6666672692307691,0.33473026923076926,0.3956781923076923
GOPR8291/00024.jpg,2,0.33793261538461533,0.5218911923076923,0.07550245,0.4026022307692307
